city,state,median_sale_price
Augusta,Kentucky,99500.0
Augusta,Maine,282500.0
Augusta,Michigan,189800.0
Augusta,Missouri,515000.0
Augusta,Montana,279000.0
Augusta,New York,463500.0
Augusta,Wisconsin,120000.0
Augusta-Richmond County,Georgia,202000.0
Augusta-Richmond County consolidated government (balance),Georgia,207500.0
Ault,Colorado,405000.0
Aumsville,Oregon,400000.0
Aurelius,New York,261250.0
Aurora,Colorado,475000.0
Aurora,Illinois,314000.0
Aurora,Indiana,200000.0
Aurora,New York,730000.0
Aurora,North Carolina,149900.0
Aurora,Ohio,402750.0
Aurora,Oregon,552970.0
Aurora,Texas,568666.0
Ausable,New York,218500.0
Austell,Georgia,333000.0
Austerlitz,New York,558250.0
Austin,Arkansas,220600.0
Austin,Indiana,149992.5
Austin,Minnesota,178500.0
Austin,Texas,535000.0
Austinburg,Ohio,190000.0
Austintown,Ohio,172950.0
Auxvasse,Missouri,179900.0
Avalon,California,975000.0
Avalon,Florida,263700.0
Avalon,Georgia,210900.0
Avalon,New Jersey,2775000.0
Avalon,Pennsylvania,202000.0
Avant,Oklahoma,100000.0
Ave Maria,Florida,462043.0
Avella,Pennsylvania,235000.0
Avenal,California,238750.0
Avenel,New Jersey,425000.0
Aventura,Florida,542000.0
Avenue B & C,Arizona,210500.0
Averill Park,New York,423500.0
Avery Creek,North Carolina,510000.0
Avila Beach,California,1760000.0
Avilla,Arkansas,362000.0
Avilla,Indiana,212075.0
Avimor,Idaho,747858.0
Avis,Pennsylvania,165000.0
Aviston,Illinois,278750.0
Avoca,Arkansas,779990.0
Avoca,Iowa,183500.0
Avoca,New York,153865.0
Avoca,Pennsylvania,182000.0
Avoca,Wisconsin,109725.0
Avocado Heights,California,885250.0
Avon,Colorado,1580000.0
Avon,Indiana,362500.0
Avon,Massachusetts,526000.0
Avon,Minnesota,293950.0
Avon,New York,260000.0
Avon,North Carolina,575000.0
Avon,Ohio,417000.0
Avon,Pennsylvania,240000.0
Avon Lake,Ohio,387500.0
Avon Park,Florida,177500.0
Avon-By-the-Sea,New Jersey,2290000.0
Avondale,Arizona,420000.0
Avondale,Colorado,198000.0
Avondale,Louisiana,129750.0
Avondale,Missouri,220000.0
Avondale,Pennsylvania,345000.0
Avondale Estates,Georgia,524500.0
Avonia,Pennsylvania,370000.0
Avonmore,Pennsylvania,80250.0
Avra Valley,Arizona,420000.0
Awendaw,South Carolina,763483.75
Axis,Alabama,315000.0
Axtell,Nebraska,182500.0
Ayden,North Carolina,248407.5
Ayer,Massachusetts,497250.0
Aynor,South Carolina,259622.5
Azalea Park,Florida,324750.0
Azle,Texas,315999.0
Aztec,New Mexico,259975.0
Azusa,California,695000.0
Babson Park,Florida,265450.0
Babylon,New York,707500.0
Backus,Minnesota,219125.0
Bacliff,Texas,230000.0
Baden,Maryland,480000.0
Baden,Pennsylvania,160000.0
Badger,Alaska,349900.0
Badin,North Carolina,169500.0
Bagdad,Florida,259907.5
Bagley,Iowa,115000.0
Bagley,Wisconsin,157950.0
Baidland,Pennsylvania,235000.0
Bailey,Colorado,550000.0
Bailey,North Carolina,232000.0
Bailey Lakes,Ohio,207000.0
Bailey's Crossroads,Virginia,442450.0
Bailey's Prairie,Texas,447500.0
Baileyton,Alabama,212900.0
Baileyton,Tennessee,332500.0
Bainbridge,Georgia,210950.0
Bainbridge,Indiana,273850.0
Bainbridge,Ohio,385000.0
Bainbridge,Pennsylvania,299250.0
